id,pattern,value1,value2,value3,type,matchType,frequency
id_1,nma,ന്മ,,,2,1,0
id_1,Nma,ണ്മ,,,2,1,0
id_1,nma,ണ്മ,,,2,1,0
id_1,nJa,ഞ്ജ,,,2,1,0
id_1,nja,ഞ്ജ,,,2,1,0
id_1,NDa,ണ്ഡ,,,2,1,0
id_1,nda,ണ്ഡ,,,2,1,0
id_1,ra,ര,,,2,1,0
id_1,ra,റ,,,2,1,0
id_1,Ra,റ,,,2,1,0
id_1,na,ന,,,2,1,0
id_1,na,ണ,,,2,1,0
id_1,Na,ണ,,,2,1,0
id_1,la,ല,,,2,1,0
id_1,la,ള,,,2,1,0
id_1,La,ള,,,2,1,0
id_1,ma,മ,,,2,1,0
id_1,rva,ര്വ,,,2,1,0
id_1,rwa,ര്വ,,,2,1,0
id_1,rya,ര്യ,,,2,1,0
id_1,Rva,റ്വ്,,,2,1,0
id_1,Rwa,റ്വ്,,,2,1,0
id_1,rva,റ്വ്,,,2,1,0
id_1,Rya,റ്യ്,,,2,1,0
id_1,rya,റ്യ്,,,2,1,0
id_1,nva,ന്വ,,,2,1,0
id_1,nwa,ന്വ,,,2,1,0
id_1,nya,ന്യ,,,2,1,0
id_1,Nva,ണ്വ,,,2,1,0
id_1,Nwa,ണ്വ,,,2,1,0
id_1,nva,ണ്വ,,,2,2,0
id_1,nwa,ണ്വ,,,2,2,0
id_1,Nya,ണ്യ,,,2,1,0
id_1,nya,ണ്യ,,,2,1,0
id_1,lva,ല്വ,,,2,1,0
id_1,lwa,ല്വ,,,2,1,0
id_1,lya,ല്യ,,,2,1,0
id_1,Lva,ള്വ,,,2,1,0
id_1,Lwa,ള്വ,,,2,1,0
id_1,lva,ള്വ,,,2,2,0
id_1,lwa,ള്വ,,,2,2,0
id_1,Lya,ള്യ,,,2,1,0
id_1,lya,ള്യ,,,2,1,0
id_1,mva,മ്വ,,,2,1,0
id_1,mwa,മ്വ,,,2,1,0
id_1,mya,മ്യ,,,2,1,0
id_1,c,ക്,,,2,1,0
id_1,k,്,,,3,1,0
id_1,ka,ാ,,,3,1,0
id_1,kaa,ാ,,,3,1,0
id_1,kA,ാ,,,3,1,0
id_1,ki,ി,,,3,1,0
id_1,kee,ീ,,,3,1,0
id_1,kI,ീ,,,3,1,0
id_1,kii,ീ,,,3,1,0
id_1,ki,ീ,,,3,1,0
id_1,ku,ു,,,3,1,0
id_1,ku,ൂ,,,3,1,0
id_1,kuu,ൂ,,,3,1,0
id_1,koo,ൂ,,,3,1,0
id_1,kU,ൂ,,,3,1,0
id_1,kri,ൃ,,,3,1,0
id_1,kru,ൃ,,,3,1,0
id_1,kR,ൃ,,,3,1,0
id_1,ke,െ,,,3,1,0
id_1,kE,േ,,,3,1,0
id_1,ke,േ,,,3,1,0
id_1,kai,ൈ,,,3,1,0
id_1,kei,ൈ,,,3,1,0
id_1,ko,ൊ,,,3,1,0
id_1,kO,ോ,,,3,1,0
id_1,ko,ോ,,,3,1,0
id_1,kou,ൌ,,,3,1,0
id_1,kau,ൌ,,,3,1,0
id_1,kow,ൌ,,,3,1,0
id_1,kOU,ൗ,,,3,1,0
id_1,kAU,ൗ,,,3,1,0
id_1,kOW,ൗ,,,3,1,0
id_1,kh,്,,,3,1,0
id_1,kha,ാ,,,3,1,0
id_1,khaa,ാ,,,3,1,0
id_1,khA,ാ,,,3,1,0
id_1,khi,ി,,,3,1,0
id_1,khee,ീ,,,3,1,0
id_1,khI,ീ,,,3,1,0
id_1,khii,ീ,,,3,1,0
id_1,khi,ീ,,,3,1,0
id_1,khu,ു,,,3,1,0
id_1,khu,ൂ,,,3,1,0
id_1,khuu,ൂ,,,3,1,0
id_1,khoo,ൂ,,,3,1,0
id_1,khU,ൂ,,,3,1,0
id_1,khri,ൃ,,,3,1,0
id_1,khru,ൃ,,,3,1,0
id_1,khR,ൃ,,,3,1,0
id_1,khe,െ,,,3,1,0
id_1,khE,േ,,,3,1,0
id_1,khe,േ,,,3,1,0
id_1,khai,ൈ,,,3,1,0
id_1,khei,ൈ,,,3,1,0
id_1,kho,ൊ,,,3,1,0
id_1,khO,ോ,,,3,1,0
id_1,kho,ോ,,,3,1,0
id_1,khou,ൌ,,,3,1,0
id_1,khau,ൌ,,,3,1,0
id_1,khow,ൌ,,,3,1,0
id_1,khOU,ൗ,,,3,1,0
id_1,khAU,ൗ,,,3,1,0
id_1,khOW,ൗ,,,3,1,0
id_1,gh,്,,,3,1,0
id_1,gha,ാ,,,3,1,0
id_1,ghaa,ാ,,,3,1,0
id_1,ghA,ാ,,,3,1,0
id_1,ghi,ി,,,3,1,0
id_1,ghee,ീ,,,3,1,0
id_1,ghI,ീ,,,3,1,0
id_1,ghii,ീ,,,3,1,0
id_1,ghi,ീ,,,3,1,0
id_1,ghu,ു,,,3,1,0
id_1,ghu,ൂ,,,3,1,0
id_1,ghuu,ൂ,,,3,1,0
id_1,ghoo,ൂ,,,3,1,0
id_1,ghU,ൂ,,,3,1,0
id_1,ghri,ൃ,,,3,1,0
id_1,ghru,ൃ,,,3,1,0
id_1,ghR,ൃ,,,3,1,0
id_1,ghe,െ,,,3,1,0
id_1,ghE,േ,,,3,1,0
id_1,ghe,േ,,,3,1,0
id_1,ghai,ൈ,,,3,1,0
id_1,ghei,ൈ,,,3,1,0
id_1,gho,ൊ,,,3,1,0
id_1,ghO,ോ,,,3,1,0
id_1,gho,ോ,,,3,1,0
id_1,ghou,ൌ,,,3,1,0
id_1,ghau,ൌ,,,3,1,0
id_1,ghow,ൌ,,,3,1,0
id_1,ghOU,ൗ,,,3,1,0
id_1,ghAU,ൗ,,,3,1,0
id_1,ghOW,ൗ,,,3,1,0
id_1,g,്,,,3,1,0
id_1,ga,ാ,,,3,1,0
id_1,gaa,ാ,,,3,1,0
id_1,gA,ാ,,,3,1,0
id_1,gi,ി,,,3,1,0
id_1,gee,ീ,,,3,1,0
id_1,gI,ീ,,,3,1,0
id_1,gii,ീ,,,3,1,0
id_1,gi,ീ,,,3,1,0
id_1,gu,ു,,,3,1,0
id_1,gu,ൂ,,,3,1,0
id_1,guu,ൂ,,,3,1,0
id_1,goo,ൂ,,,3,1,0
id_1,gU,ൂ,,,3,1,0
id_1,gri,ൃ,,,3,1,0
id_1,gru,ൃ,,,3,1,0
id_1,gR,ൃ,,,3,1,0
id_1,ge,െ,,,3,1,0
id_1,gE,േ,,,3,1,0
id_1,ge,േ,,,3,1,0
id_1,gai,ൈ,,,3,1,0
id_1,gei,ൈ,,,3,1,0
id_1,go,ൊ,,,3,1,0
id_1,gO,ോ,,,3,1,0
id_1,go,ോ,,,3,1,0
id_1,gou,ൌ,,,3,1,0
id_1,gau,ൌ,,,3,1,0
id_1,gow,ൌ,,,3,1,0
id_1,gOU,ൗ,,,3,1,0
id_1,gAU,ൗ,,,3,1,0
id_1,gOW,ൗ,,,3,1,0
id_1,gh,്,,,3,1,0
id_1,gha,ാ,,,3,1,0
id_1,ghaa,ാ,,,3,1,0
id_1,ghA,ാ,,,3,1,0
id_1,ghi,ി,,,3,1,0
id_1,ghee,ീ,,,3,1,0
id_1,ghI,ീ,,,3,1,0
id_1,ghii,ീ,,,3,1,0
id_1,ghi,ീ,,,3,1,0
id_1,ghu,ു,,,3,1,0
id_1,ghu,ൂ,,,3,1,0
id_1,ghuu,ൂ,,,3,1,0
id_1,ghoo,ൂ,,,3,1,0
id_1,ghU,ൂ,,,3,1,0
id_1,ghri,ൃ,,,3,1,0
id_1,ghru,ൃ,,,3,1,0
id_1,ghR,ൃ,,,3,1,0
id_1,ghe,െ,,,3,1,0
id_1,ghE,േ,,,3,1,0
id_1,ghe,േ,,,3,1,0
id_1,ghai,ൈ,,,3,1,0
id_1,ghei,ൈ,,,3,1,0
id_1,gho,ൊ,,,3,1,0
id_1,ghO,ോ,,,3,1,0
id_1,gho,ോ,,,3,1,0
id_1,ghou,ൌ,,,3,1,0
id_1,ghau,ൌ,,,3,1,0
id_1,ghow,ൌ,,,3,1,0
id_1,ghOU,ൗ,,,3,1,0
id_1,ghAU,ൗ,,,3,1,0
id_1,ghOW,ൗ,,,3,1,0
id_1,kh,്,,,3,1,0
id_1,kha,ാ,,,3,1,0
id_1,khaa,ാ,,,3,1,0
id_1,khA,ാ,,,3,1,0
id_1,khi,ി,,,3,1,0
id_1,khee,ീ,,,3,1,0
id_1,khI,ീ,,,3,1,0
id_1,khii,ീ,,,3,1,0
id_1,khi,ീ,,,3,1,0
id_1,khu,ു,,,3,1,0
id_1,khu,ൂ,,,3,1,0
id_1,khuu,ൂ,,,3,1,0
id_1,khoo,ൂ,,,3,1,0
id_1,khU,ൂ,,,3,1,0
id_1,khri,ൃ,,,3,1,0
id_1,khru,ൃ,,,3,1,0
id_1,khR,ൃ,,,3,1,0
id_1,khe,െ,,,3,1,0
id_1,khE,േ,,,3,1,0
id_1,khe,േ,,,3,1,0
id_1,khai,ൈ,,,3,1,0
id_1,khei,ൈ,,,3,1,0
id_1,kho,ൊ,,,3,1,0
id_1,khO,ോ,,,3,1,0
id_1,kho,ോ,,,3,1,0
id_1,khou,ൌ,,,3,1,0
id_1,khau,ൌ,,,3,1,0
id_1,khow,ൌ,,,3,1,0
id_1,khOU,ൗ,,,3,1,0
id_1,khAU,ൗ,,,3,1,0
id_1,khOW,ൗ,,,3,1,0
id_1,NG,്,,,3,1,0
id_1,NGa,ാ,,,3,1,0
id_1,NGaa,ാ,,,3,1,0
id_1,NGA,ാ,,,3,1,0
id_1,NGi,ി,,,3,1,0
id_1,NGee,ീ,,,3,1,0
id_1,NGI,ീ,,,3,1,0
id_1,NGii,ീ,,,3,1,0
id_1,NGi,ീ,,,3,1,0
id_1,NGu,ു,,,3,1,0
id_1,NGu,ൂ,,,3,1,0
id_1,NGuu,ൂ,,,3,1,0
